labels,highly_common_concept,cond2,cond3,concept_is_acceptable,total_img_numbers_by_label,distinct_img_numbers_by_label
0,False,False,True,True,"{'ambulance': 26, 'police_van': 13}","{'ambulance': 7, 'police_van': 4}"
1,False,False,True,True,"{'ambulance': 26, 'police_van': 13}","{'ambulance': 12, 'police_van': 2}"
2,False,True,True,True,"{'police_van': 22, 'ambulance': 17}","{'ambulance': 12, 'police_van': 10}"
3,False,False,True,True,"{'ambulance': 14, 'police_van': 25}","{'ambulance': 6, 'police_van': 8}"
4,False,True,True,True,"{'police_van': 31, 'ambulance': 8}","{'ambulance': 8, 'police_van': 14}"
5,False,True,True,True,"{'ambulance': 31, 'police_van': 8}","{'ambulance': 11, 'police_van': 5}"
6,False,False,True,True,"{'police_van': 27, 'ambulance': 12}","{'ambulance': 8, 'police_van': 11}"
7,False,False,True,True,"{'police_van': 22, 'ambulance': 17}","{'ambulance': 11, 'police_van': 12}"
8,False,True,True,True,"{'police_van': 24, 'ambulance': 15}","{'police_van': 15, 'ambulance': 10}"
9,False,False,True,True,"{'ambulance': 29, 'police_van': 10}","{'ambulance': 8, 'police_van': 4}"
10,False,True,True,True,"{'ambulance': 23, 'police_van': 16}","{'ambulance': 14, 'police_van': 10}"
11,False,False,True,True,"{'ambulance': 23, 'police_van': 16}","{'ambulance': 11, 'police_van': 8}"
12,False,False,True,True,"{'police_van': 19, 'ambulance': 20}","{'ambulance': 12, 'police_van': 10}"
13,False,False,True,True,"{'police_van': 22, 'ambulance': 17}","{'ambulance': 12, 'police_van': 14}"
14,False,False,True,True,"{'police_van': 28, 'ambulance': 11}","{'ambulance': 7, 'police_van': 11}"
15,False,False,True,True,"{'police_van': 18, 'ambulance': 21}","{'ambulance': 9, 'police_van': 6}"
16,False,False,True,True,"{'police_van': 16, 'ambulance': 23}","{'ambulance': 9, 'police_van': 9}"
17,False,False,True,True,"{'police_van': 29, 'ambulance': 10}","{'ambulance': 7, 'police_van': 8}"
18,False,False,True,True,"{'ambulance': 21, 'police_van': 18}","{'ambulance': 12, 'police_van': 10}"
19,False,False,True,True,"{'police_van': 19, 'ambulance': 20}","{'police_van': 11, 'ambulance': 10}"
20,False,True,False,True,"{'police_van': 34, 'ambulance': 5}","{'ambulance': 3, 'police_van': 9}"
21,False,False,True,True,"{'ambulance': 31, 'police_van': 8}","{'ambulance': 6, 'police_van': 6}"
22,False,False,True,True,"{'ambulance': 24, 'police_van': 15}","{'ambulance': 8, 'police_van': 9}"
23,False,False,True,True,"{'police_van': 28, 'ambulance': 11}","{'ambulance': 6, 'police_van': 8}"
24,False,False,True,True,"{'police_van': 23, 'ambulance': 16}","{'ambulance': 9, 'police_van': 11}"
